country_code,country_name,country_border_code,country_border_name
1,Afghanistan,69,Iran (Islamic Republic of)
1,Afghanistan,147,Tajikistan
1,Afghanistan,163,Uzbekistan
69,Iran (Islamic Republic of),1,Afghanistan
147,Tajikistan,1,Afghanistan
163,Uzbekistan,1,Afghanistan
2,Albania,99,Montenegro
2,Albania,130,Serbia
99,Montenegro,2,Albania
130,Serbia,2,Albania
3,Algeria,94,Mali
3,Algeria,100,Morocco
3,Algeria,154,Tunisia
EH,Western Sahara,3,Algeria
100,Morocco,3,Algeria
95,Mauritania,3,Algeria
154,Tunisia,3,Algeria
4,Angola,38,Congo (the Democratic Republic of the)
4,Angola,168,Zambia
32,Congo,4,Angola
168,Zambia,4,Angola
5,Argentina,19,Brazil
5,Argentina,118,Paraguay
16,Bolivia (Plurinational State Of),5,Argentina
29,Chile,5,Argentina
162,Uruguay,5,Argentina
6,Armenia,54,Georgia
6,Armenia,155,Turkey
54,Georgia,6,Armenia
155,Turkey,6,Armenia
8,Austria,55,Germany
8,Austria,73,Italy
8,Austria,132,Slovakia
8,Austria,144,Switzerland
37,Czechia,8,Austria
65,Hungary,8,Austria
LI,Liechtenstein,8,Austria
132,Slovakia,8,Austria
9,Azerbaijan,6,Armenia
9,Azerbaijan,69,Iran (Islamic Republic of)
9,Azerbaijan,155,Turkey
69,Iran (Islamic Republic of),9,Azerbaijan
155,Turkey,9,Azerbaijan
10,Bangladesh,102,Myanmar
102,Myanmar,10,Bangladesh
11,Belarus,89,Lithuania
11,Belarus,126,Russian Federation
89,Lithuania,11,Belarus
121,Poland,11,Belarus
158,Ukraine,11,Belarus
12,Belgium,55,Germany
12,Belgium,105,Netherlands
52,France,12,Belgium
105,Netherlands,12,Belgium
13,Belize,96,Mexico
96,Mexico,13,Belize
14,Benin,22,Burkina Faso
14,Benin,110,Nigeria
109,Niger,14,Benin
152,Togo,14,Benin
15,Bhutan,67,India
67,India,15,Bhutan
16,Bolivia (Plurinational State Of),5,Argentina
16,Bolivia (Plurinational State Of),29,Chile
16,Bolivia (Plurinational State Of),119,Peru
29,Chile,16,Bolivia (Plurinational State Of)
118,Paraguay,16,Bolivia (Plurinational State Of)
17,Bosnia and Herzegovina,99,Montenegro
34,Croatia,17,Bosnia and Herzegovina
130,Serbia,17,Bosnia and Herzegovina
18,Botswana,136,South Africa
18,Botswana,169,Zimbabwe
136,South Africa,18,Botswana
169,Zimbabwe,18,Botswana
16,Bolivia (Plurinational State Of),19,Brazil
19,Brazil,16,Bolivia (Plurinational State Of)
19,Brazil,GF,French Guiana
19,Brazil,118,Paraguay
19,Brazil,142,Suriname
19,Brazil,165,Venezuela (Bolivarian Republic of)
GF,French Guiana,19,Brazil
119,Peru,19,Brazil
142,Suriname,19,Brazil
165,Venezuela (Bolivarian Republic of),19,Brazil
93,Malaysia,20,Brunei Darussalam
21,Bulgaria,112,North Macedonia
21,Bulgaria,130,Serbia
57,Greece,21,Bulgaria
125,Romania,21,Bulgaria
155,Turkey,21,Bulgaria
22,Burkina Faso,74,Cote d’Ivoire
22,Burkina Faso,94,Mali
22,Burkina Faso,152,Togo
74,Cote d’Ivoire,22,Burkina Faso
94,Mali,22,Burkina Faso
152,Togo,22,Burkina Faso
23,Burundi,127,Rwanda
38,Congo (the Democratic Republic of the),23,Burundi
148,Tanzania (the United Republic of),23,Burundi
24,Cambodia,149,Thailand
83,Lao People's Democratic Republic,24,Cambodia
166,Viet Nam,24,Cambodia
32,Congo,25,Cameroon
25,Cameroon,28,Chad
25,Cameroon,45,Equatorial Guinea
25,Cameroon,110,Nigeria
45,Equatorial Guinea,25,Cameroon
28,Chad,25,Cameroon
161,United States of America,26,Canada
27,Central African Republic,25,Cameroon
27,Central African Republic,32,Congo
27,Central African Republic,138,South Sudan
32,Congo,27,Central African Republic
141,Sudan,27,Central African Republic
28,Chad,27,Central African Republic
25,Cameroon,28,Chad
109,Niger,28,Chad
141,Sudan,28,Chad
28,Chad,27,Central African Republic
28,Chad,109,Niger
28,Chad,141,Sudan
16,Bolivia (Plurinational State Of),29,Chile
29,Chile,16,Bolivia (Plurinational State Of)
119,Peru,29,Chile
15,Bhutan,30,China
30,China,15,Bhutan
30,China,67,India
30,China,111,Korea (Democratic People's Republic of)
30,China,83,Lao People's Democratic Republic
30,China,98,Mongolia
30,China,104,Nepal
30,China,126,Russian Federation
30,China,166,Viet Nam
67,India,30,China
111,Korea (Democratic People's Republic of),30,China
83,Lao People's Democratic Republic,30,China
98,Mongolia,30,China
104,Nepal,30,China
126,Russian Federation,30,China
166,Viet Nam,30,China
31,Colombia,19,Brazil
31,Colombia,116,Panama
31,Colombia,165,Venezuela (Bolivarian Republic of)
116,Panama,31,Colombia
165,Venezuela (Bolivarian Republic of),31,Colombia
38,Congo (the Democratic Republic of the),32,Congo
32,Congo,4,Angola
32,Congo,27,Central African Republic
32,Congo,53,Gabon
53,Gabon,32,Congo
33,Costa Rica,116,Panama
116,Panama,33,Costa Rica
34,Croatia,17,Bosnia and Herzegovina
34,Croatia,99,Montenegro
34,Croatia,133,Slovenia
99,Montenegro,34,Croatia
133,Slovenia,34,Croatia
37,Czechia,8,Austria
37,Czechia,121,Poland
55,Germany,37,Czechia
132,Slovakia,37,Czechia
23,Burundi,38,Congo (the Democratic Republic of the)
38,Congo (the Democratic Republic of the),23,Burundi
38,Congo (the Democratic Republic of the),32,Congo
38,Congo (the Democratic Republic of the),138,South Sudan
38,Congo (the Democratic Republic of the),157,Uganda
27,Central African Republic,38,Congo (the Democratic Republic of the)
127,Rwanda,38,Congo (the Democratic Republic of the)
148,Tanzania (the United Republic of),38,Congo (the Democratic Republic of the)
168,Zambia,38,Congo (the Democratic Republic of the)
39,Denmark,55,Germany
40,Djibouti,49,Ethiopia
46,Eritrea,40,Djibouti
135,Somalia,40,Djibouti
63,Haiti,41,Dominican Republic
42,Ecuador,31,Colombia
119,Peru,42,Ecuador
43,Egypt,88,Libya
43,Egypt,141,Sudan
88,Libya,43,Egypt
141,Sudan,43,Egypt
64,Honduras,44,El Salvador
44,El Salvador,64,Honduras
53,Gabon,45,Equatorial Guinea
45,Equatorial Guinea,53,Gabon
46,Eritrea,40,Djibouti
46,Eritrea,141,Sudan
141,Sudan,46,Eritrea
47,Estonia,126,Russian Federation
126,Russian Federation,47,Estonia
48,Eswatini,101,Mozambique
136,South Africa,48,Eswatini
46,Eritrea,49,Ethiopia
49,Ethiopia,46,Eritrea
49,Ethiopia,135,Somalia
49,Ethiopia,141,Sudan
141,Sudan,49,Ethiopia
138,South Sudan,49,Ethiopia
51,Finland,126,Russian Federation
113,Norway,51,Finland
143,Sweden,51,Finland
12,Belgium,52,France
55,Germany,52,France
52,France,AD,Andorra
52,France,55,Germany
